N_out,P_low,P_upp
107,0.8329518364687369,0.9378765448416633
108,0.8317620505442362,0.9371053536184177
109,0.8305736272046612,0.9363327933896937
110,0.8293865503103506,0.9355588803876755
111,0.8282008040780712,0.9347836304866302
112,0.8270163730700764,0.9340070592138597
113,0.8258332421835939,0.9332291817602246
114,0.824651396640724,0.9324500129902598
115,0.823470821978728,0.9316695674519003
116,0.822291504040689,0.930887859385838
117,0.8211134289665258,0.9301049027345221
118,0.8199365831843477,0.9293207111508242
119,0.8187609534021297,0.9285352980063798
120,0.8175865265996975,0.9277486763996232
121,0.8164132900210066,0.9269608591635276
122,0.8152412311667012,0.9261718588730642
123,0.8140703377869449,0.9253816878523946
124,0.8129005978745052,0.924590358181804
125,0.8117319996580854,0.9237978817043904
126,0.810564531595892,0.9230042700325178
127,0.8093981823694264,0.9222095345540455
128,0.808232940877492,0.9214136864383405
129,0.8070687962304092,0.9206167366420839
130,0.8059057377444258,0.9198186959148802
131,0.8047437549363193,0.9190195748046759
132,0.8035828375181802,0.9182193836629965
133,0.8024229753923684,0.9174181326500095
134,0.8012641586466388,0.9166158317394189
135,0.8001063775494262,0.9158124907232001
136,0.7989496225452842,0.9150081192161806
137,0.7977938842504734,0.914202726660471
138,0.7966391534486894,0.9133963223297547
139,0.7954854210869298,0.9125889153334417
140,0.794332678271491,0.9117805146206885
141,0.7931809162640913,0.9109711289842943
142,0.7920301264781157,0.9101607670644734
143,0.7908803004749776,0.9093494373525113
144,0.7897314299605921,0.9085371481943089
145,0.788583506781958,0.9077239077938173
146,0.7874365229238436,0.9069097242163686
147,0.786290470505573,0.9060946053919071
148,0.7851453417779084,0.9052785591181214
149,0.7840011291200256,0.9044615930634858
150,0.7828578250365799,0.9036437147702101
151,0.7817154221548572,0.9028249316571038
152,0.7805739132220089,0.9020052510223552
153,0.7794332911023675,0.9011846800462318
154,0.7782935487748388,0.9003632257937012
155,0.7771546793303706,0.8995408952169783
156,0.7760166759694911,0.8987176951579992
157,0.7748795319999187,0.8978936323508246
158,0.7737432408342388,0.8970687134239783
159,0.7726077959876461,0.8962429449027168
160,0.7714731910757472,0.8954163332112387
161,0.770339419812427,0.8945888846748319
162,0.769206476007772,0.8937606055219627
163,0.7680743535660506,0.8929315018863065
164,0.766943046483747,0.8921015798087264
165,0.7658125488476508,0.8912708452391946
166,0.7646828548329951,0.8904393040386667
167,0.7635539587016451,0.889606961980902
168,0.7624258548003354,0.8887738247542395
169,0.7612985375589522,0.8879398979633243
170,0.7601720014888621,0.8871051871307903
171,0.7590462411812827,0.8862696976988995
172,0.7579212513056965,0.8854334350311371
173,0.7567970266083055,0.8845964044137686
174,0.755673561910524,0.8837586110573542
175,0.7545508521075117,0.8829200600982265
176,0.7534288921667425,0.8820807565999307
177,0.752307677126609,0.8812407055546279
178,0.751187202095064,0.8803999118844643
179,0.7500674622482926,0.8795583804429058
180,0.7489484528294192,0.8787161160160396
181,0.7478301691472469,0.8778731233238446
182,0.7467126065750249,0.8770294070214298
183,0.7455957605492489,0.8761849717002435
184,0.7444796265684888,0.8753398218892522
185,0.743364200192244,0.8744939620560929
186,0.7422494770398295,0.8736473966081953
187,0.7411354527892828,0.8728001298938807
188,0.7400221231763031,0.8719521662034313
189,0.73890948399321,0.8711035097701375
190,0.7377975310879296,0.870254164771318
191,0.7366862603630041,0.8694041353293186
192,0.7355756677746227,0.8685534255124859
193,0.7344657493316766,0.8677020393361199
194,0.7333565010948353,0.8668499807634036
195,0.7322479191756421,0.8659972537063129
196,0.7311399997356336,0.8651438620265042
197,0.7300327389854756,0.8642898095361828
198,0.7289261331841212,0.8634350999989528
199,0.7278201786379863,0.8625797371306453
200,0.7267148717001423,0.8617237246001307
201,0.7256102087695302,0.8608670660301123
202,0.7245061862901881,0.8600097649979019
203,0.7234028007504991,0.8591518250361787
204,0.7223000486824525,0.8582932496337315
205,0.7211979266609224,0.8574340422361859
206,0.720096431302964,0.8565742062467133
207,0.7189955592671203,0.8557137450267279
208,0.7178953072527485,0.8548526618965657
209,0.7167956719993576,0.8539909601361513
210,0.7156966502859612,0.8531286429856492
211,0.714598238930444,0.852265713646102
212,0.7135004347889414,0.8514021752800551
213,0.7124032347552322,0.8505380310121682
214,0.7113066357601436,0.8496732839298138
215,0.7102106347709691,0.8488079370836644
216,0.709115228790898,0.8479419934882662
217,0.7080204148584568,0.8470754561226016
218,0.7069261900469617,0.8462083279306408
219,0.7058325514639832,0.8453406118218809
220,0.7047394962508197,0.8444723106718756
221,0.7036470215819837,0.8436034273227523
222,0.7025551246646977,0.8427339645837212
223,0.7014638027383993,0.841863925231572
224,0.7003730530742569,0.8409933120111622
225,0.6992828729746956,0.8401221276358948
226,0.698193259772931,0.8392503747881869
227,0.6971042108325134,0.8383780561199299
228,0.6960157235468801,0.8375051742529387
229,0.6949277953389177,0.8366317317793946
230,0.6938404236605304,0.8357577312622776
231,0.69275360599222,0.8348831752357911
232,0.6916673398426709,0.8340080662057794
233,0.6905816227483451,0.8331324066501345
234,0.6894964522730838,0.8322561990191992
235,0.6884118260077172,0.8313794457361581
236,0.6873277415696815,0.8305021491974245
237,0.6862441966026427,0.8296243117730185
238,0.685161188776128,0.8287459358069387
239,0.6840787157851651,0.8278670236175256
240,0.6829967753499245,0.8269875774978207
241,0.6819153652153734,0.8261075997159162
242,0.6808344831509328,0.8252270925152998
243,0.6797541269501408,0.8243460581151932
244,0.6786742944303245,0.823464498710884
245,0.6775949834322753,0.8225824164740513
246,0.6765161918199316,0.8216998135530852
247,0.6754379174800664,0.8208166920734024
248,0.6743601583219818,0.8199330541377532
249,0.6732829122772073,0.819048901826525
250,0.6722061772992044,0.8181642371980404
251,0.6711299513630776,0.8172790622888482
